filename,canidate,has_python2_module,has_python3_module,trove_python3
jsonpipe_0.0.8-5.json,,✓,,
jsonpickle_0.8.0-1.json,,✓,✓,✓
jinja2_2.7.3-1.json,,✓,✓,✓
jabberbot_0.15-1.json,,✓,,
jython_2.5.3-3.json,,,,
nibabel_1.3.0-2.json,,✓,,
nuitka_0.5.5.3+ds-1.json,,,,
netifaces_0.10.4-0.1.json,,✓,✓,✓
notify-python_0.1.1-4.json,,✓,,
nwsserver_2.0.0-2.json,,,,
nwsclient_1.6.4-8.json,,,,
nipy_0.3.0+git262-gbb838d7-1.json,,✓,,
numexpr_2.4-1.json,,✓,✓,
nxt-python_2.2.2-2.json,,✓,,
numm_0.5-1.json,,✓,,
nosexcover_1.0.7-1.json,,✓,,
